repo,id_build,workflow_id,issuer_name,branch,commit_sha,languages,status,workflow_event_trigger,conclusion,created_at,updated_at,build_duration,total_builds,gh_first_commit_created_at,build_language,dependencies_count,workflow_size,test_framework,workflow_name,fetch_duration
psf/requests,18622197798,72331353,AndyADD,main,70298332899f25826e35e42f8d83425124f755a5,Python,completed,issues,success,2025-10-18 23:11:07,2025-10-18T23:11:16Z,9.0,3,2025-10-15T11:45:42Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2135889530181884
psf/requests,18622197796,72331353,AndyADD,main,70298332899f25826e35e42f8d83425124f755a5,Python,completed,issues,skipped,2025-10-18 23:11:07,2025-10-18T23:11:08Z,1.0,4,2025-10-15T11:45:42Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2166051864624023
psf/requests,18613753193,72331353,ijazabdullah127,main,70298332899f25826e35e42f8d83425124f755a5,Python,completed,issues,skipped,2025-10-18 09:17:58,2025-10-18T09:17:58Z,0.0,5,2025-10-15T11:45:42Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.191399335861206
psf/requests,18613753188,72331353,ijazabdullah127,main,70298332899f25826e35e42f8d83425124f755a5,Python,completed,issues,success,2025-10-18 09:17:57,2025-10-18T09:18:08Z,11.0,6,2025-10-15T11:45:42Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2007222175598144
psf/requests,18552700828,72331353,oyealex,main,70298332899f25826e35e42f8d83425124f755a5,Python,completed,issues,success,2025-10-16 06:43:46,2025-10-16T06:43:55Z,9.0,7,2025-10-15T11:45:42Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.3712317943572998
psf/requests,18552700779,72331353,oyealex,main,70298332899f25826e35e42f8d83425124f755a5,Python,completed,issues,skipped,2025-10-16 06:43:46,2025-10-16T06:43:47Z,1.0,8,2025-10-15T11:45:42Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.208514928817749
psf/requests,17879278751,72331353,sigmavirus24,main,420d16bc7ef326f7b65f90e4644adc0f6a0e1d44,Python,completed,issues,skipped,2025-09-20 11:26:11,2025-09-20T11:26:11Z,0.0,9,2025-09-09T09:00:19Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.3260746002197265
psf/requests,17879278722,72331353,sigmavirus24,main,420d16bc7ef326f7b65f90e4644adc0f6a0e1d44,Python,completed,issues,skipped,2025-09-20 11:26:10,2025-09-20T11:26:12Z,2.0,10,2025-09-09T09:00:19Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2078695297241211
psf/requests,17682205411,72331353,ErikDB87,main,420d16bc7ef326f7b65f90e4644adc0f6a0e1d44,Python,completed,issues,success,2025-09-12 17:58:09,2025-09-12T17:58:19Z,10.0,11,2025-09-09T09:00:19Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.1854236125946045
psf/requests,17682205368,72331353,ErikDB87,main,420d16bc7ef326f7b65f90e4644adc0f6a0e1d44,Python,completed,issues,skipped,2025-09-12 17:58:09,2025-09-12T17:58:10Z,1.0,12,2025-09-09T09:00:19Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.189629316329956
psf/requests,17671896590,72331353,Tina-1300,main,420d16bc7ef326f7b65f90e4644adc0f6a0e1d44,Python,completed,issues,skipped,2025-09-12 10:30:21,2025-09-12T10:30:22Z,1.0,13,2025-09-09T09:00:19Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.208616018295288
psf/requests,17671896580,72331353,Tina-1300,main,420d16bc7ef326f7b65f90e4644adc0f6a0e1d44,Python,completed,issues,success,2025-09-12 10:30:21,2025-09-12T10:30:29Z,8.0,14,2025-09-09T09:00:19Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.3310105800628662
psf/requests,17552425610,72331353,sigmavirus24,main,1c49660b84c88eeb2695796ce4a68903c00e00c5,Python,completed,issues,success,2025-09-08 13:27:47,2025-09-08T13:28:03Z,16.0,15,2025-09-02T08:15:01Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2801289558410644
psf/requests,17552425281,72331353,sigmavirus24,main,1c49660b84c88eeb2695796ce4a68903c00e00c5,Python,completed,issues,skipped,2025-09-08 13:27:46,2025-09-08T13:27:47Z,1.0,16,2025-09-02T08:15:01Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2095599174499511
psf/requests,16389492649,72331353,sigmavirus24,main,fec96cd5976ad763e45bac9a033d62cca1877a00,Python,completed,issues,skipped,2025-07-19 14:10:28,2025-07-19T14:10:29Z,1.0,17,2025-07-18T16:24:31Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.3187062740325928
psf/requests,16176006822,72331353,nateprewitt,main,91a3eabd3dcc4d7f36dd8249e4777a90ef9b4305,Python,completed,issues,skipped,2025-07-09 17:23:24,2025-07-09T17:23:25Z,1.0,18,2025-06-16T19:10:36Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2636585235595703
psf/requests,15975675181,72331353,CdmStore,main,91a3eabd3dcc4d7f36dd8249e4777a90ef9b4305,Python,completed,issues,skipped,2025-06-30 14:27:12,2025-06-30T14:27:13Z,1.0,19,2025-06-16T19:10:36Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.1911346912384033
psf/requests,15975675159,72331353,CdmStore,main,91a3eabd3dcc4d7f36dd8249e4777a90ef9b4305,Python,completed,issues,success,2025-06-30 14:27:12,2025-06-30T14:27:20Z,8.0,20,2025-06-16T19:10:36Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2162842750549316
psf/requests,15955390887,72331353,eilon-shai,main,91a3eabd3dcc4d7f36dd8249e4777a90ef9b4305,Python,completed,issues,skipped,2025-06-29 12:49:12,2025-06-29T12:49:13Z,1.0,21,2025-06-16T19:10:36Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.286799669265747
psf/requests,15955390881,72331353,eilon-shai,main,91a3eabd3dcc4d7f36dd8249e4777a90ef9b4305,Python,completed,issues,success,2025-06-29 12:49:12,2025-06-29T12:49:20Z,8.0,22,2025-06-16T19:10:36Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2043588161468505
psf/requests,15733590789,72331353,idan3,main,91a3eabd3dcc4d7f36dd8249e4777a90ef9b4305,Python,completed,issues,skipped,2025-06-18 13:03:15,2025-06-18T13:03:16Z,1.0,23,2025-06-16T19:10:36Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2149598598480224
psf/requests,15733590787,72331353,idan3,main,91a3eabd3dcc4d7f36dd8249e4777a90ef9b4305,Python,completed,issues,success,2025-06-18 13:03:15,2025-06-18T13:03:24Z,9.0,24,2025-06-16T19:10:36Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.1773831844329834
psf/requests,15636847363,72331353,sigmavirus24,main,8ff173b186f135670879db9fbe1e68a6b5209c89,Python,completed,issues,skipped,2025-06-13 14:22:07,2025-06-13T14:22:08Z,1.0,25,2025-06-10T12:40:33Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.3506374359130859
psf/requests,15543800817,72331353,nateprewitt,main,021dc729f0b71a3030cefdbec7fb57a0e80a6cfd,Python,completed,issues,skipped,2025-06-09 20:19:48,2025-06-09T20:19:49Z,1.0,26,2025-06-09T16:39:48Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2061357498168945
psf/requests,15347579598,72331353,sigmavirus24,main,c65c780849563c891f35ffc98d3198b71011c012,Python,completed,issues,skipped,2025-05-30 13:13:45,2025-05-30T13:13:46Z,1.0,27,2025-05-03T16:39:14Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.3295583724975586
psf/requests,14836997596,72331353,salmankadaya,main,c65c780849563c891f35ffc98d3198b71011c012,Python,completed,issues,skipped,2025-05-05 12:58:10,2025-05-05T12:58:13Z,3.0,28,2025-05-03T16:39:14Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.230518102645874
psf/requests,14836997592,72331353,salmankadaya,main,c65c780849563c891f35ffc98d3198b71011c012,Python,completed,issues,success,2025-05-05 12:58:10,2025-05-05T12:58:22Z,12.0,29,2025-05-03T16:39:14Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2128028869628906
psf/requests,14399424781,72331353,forrestxia,main,c4c8e20289ab82edad55d2fc07b42cbf08ae1441,Python,completed,issues,success,2025-04-11 08:53:57,2025-04-11T08:54:11Z,14.0,30,2025-03-31T16:43:07Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2436749935150146
psf/requests,14399424760,72331353,forrestxia,main,c4c8e20289ab82edad55d2fc07b42cbf08ae1441,Python,completed,issues,skipped,2025-04-11 08:53:57,2025-04-11T08:54:00Z,3.0,31,2025-03-31T16:43:07Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2556145191192627
psf/requests,14042725906,72331353,brianjmurrell,main,1764cc938efc3cc9720188dfa6c3852c45211aa0,Python,completed,issues,skipped,2025-03-24 18:12:40,2025-03-24T18:12:43Z,3.0,32,2025-02-20T18:43:13Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.3345606327056885
psf/requests,14042725891,72331353,brianjmurrell,main,1764cc938efc3cc9720188dfa6c3852c45211aa0,Python,completed,issues,success,2025-03-24 18:12:40,2025-03-24T18:12:54Z,14.0,33,2025-02-20T18:43:13Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.3841338157653808
psf/requests,13926554263,72331353,deviker2,main,1764cc938efc3cc9720188dfa6c3852c45211aa0,Python,completed,issues,success,2025-03-18 15:04:16,2025-03-18T15:04:30Z,14.0,34,2025-02-20T18:43:13Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.1908156871795654
psf/requests,13926554243,72331353,deviker2,main,1764cc938efc3cc9720188dfa6c3852c45211aa0,Python,completed,issues,skipped,2025-03-18 15:04:16,2025-03-18T15:04:20Z,4.0,35,2025-02-20T18:43:13Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2299072742462158
psf/requests,13809343221,72331353,JiuCai66666,main,1764cc938efc3cc9720188dfa6c3852c45211aa0,Python,completed,issues,skipped,2025-03-12 10:38:46,2025-03-12T10:38:48Z,2.0,36,2025-02-20T18:43:13Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.199204683303833
psf/requests,13809343177,72331353,JiuCai66666,main,1764cc938efc3cc9720188dfa6c3852c45211aa0,Python,completed,issues,success,2025-03-12 10:38:45,2025-03-12T10:38:57Z,12.0,37,2025-02-20T18:43:13Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2419681549072265
psf/requests,13485616318,72331353,gregory-shklover,main,1764cc938efc3cc9720188dfa6c3852c45211aa0,Python,completed,issues,skipped,2025-02-23 18:11:12,2025-02-23T18:11:14Z,2.0,38,2025-02-20T18:43:13Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2588322162628174
psf/requests,13485616314,72331353,gregory-shklover,main,1764cc938efc3cc9720188dfa6c3852c45211aa0,Python,completed,issues,success,2025-02-23 18:11:12,2025-02-23T18:11:22Z,10.0,39,2025-02-20T18:43:13Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.1892256736755371
psf/requests,13455589466,72331353,geethu910,main,1764cc938efc3cc9720188dfa6c3852c45211aa0,Python,completed,issues,skipped,2025-02-21 11:11:06,2025-02-21T11:11:08Z,2.0,40,2025-02-20T18:43:13Z,,0,35.0,"['pytest', 'pytest']",Autoclose Issues,0.2084012031555175
